<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201023,000000,0.1559170,0.1559170,0.1559170,0.1559170,0
20201024,000000,0.1546940,0.1546940,0.1546940,0.1546940,0
20201027,000000,0.1547460,0.1547460,0.1547460,0.1547460,0
20201028,000000,0.1550070,0.1550070,0.1550070,0.1550070,0
20201029,000000,0.1572680,0.1572680,0.1572680,0.1572680,0
20201030,000000,0.1600770,0.1600770,0.1600770,0.1600770,0
20201031,000000,0.1608680,0.1608680,0.1608680,0.1608680,0
20201103,000000,0.1635540,0.1635540,0.1635540,0.1635540,0
20201104,000000,0.1622570,0.1622570,0.1622570,0.1622570,0
20201106,000000,0.1589300,0.1589300,0.1589300,0.1589300,0
20201107,000000,0.1565670,0.1565670,0.1565670,0.1565670,0
20201110,000000,0.1554100,0.1554100,0.1554100,0.1554100,0
20201111,000000,0.1548240,0.1548240,0.1548240,0.1548240,0
20201112,000000,0.1542260,0.1542260,0.1542260,0.1542260,0
20201113,000000,0.1558630,0.1558630,0.1558630,0.1558630,0
20201114,000000,0.1562150,0.1562150,0.1562150,0.1562150,0
20201117,000000,0.1548460,0.1548460,0.1548460,0.1548460,0
20201118,000000,0.1535810,0.1535810,0.1535810,0.1535810,0
20201119,000000,0.1529240,0.1529240,0.1529240,0.1529240,0
20201120,000000,0.1533690,0.1533690,0.1533690,0.1533690,0
20201121,000000,0.1525580,0.1525580,0.1525580,0.1525580,0
20201124,000000,0.1520520,0.1520520,0.1520520,0.1520520,0
20201125,000000,0.1521620,0.1521620,0.1521620,0.1521620,0
20201126,000000,0.1487150,0.1487150,0.1487150,0.1487150,0
20201127,000000,0.1487470,0.1487470,0.1487470,0.1487470,0
20201128,000000,0.1496990,0.1496990,0.1496990,0.1496990,0
20201201,000000,0.1499380,0.1499380,0.1499380,0.1499380,0
20201202,000000,0.1503110,0.1503110,0.1503110,0.1503110,0
20201203,000000,0.1483380,0.1483380,0.1483380,0.1483380,0
20201204,000000,0.1479580,0.1479580,0.1479580,0.1479580,0
20201205,000000,0.1458080,0.1458080,0.1458080,0.1458080,0
20201208,000000,0.1458040,0.1458040,0.1458040,0.1458040,0
20201209,000000,0.1446480,0.1446480,0.1446480,0.1446480,0
20201210,000000,0.1425490,0.1425490,0.1425490,0.1425490,0
20201211,000000,0.1433400,0.1433400,0.1433400,0.1433400,0
20201212,000000,0.1421310,0.1421310,0.1421310,0.1421310,0
20201215,000000,0.1397070,0.1397070,0.1397070,0.1397070,0
