<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200904,000000,1.0102000,1.3000000,1.0102000,1.0960000,1413033
20200907,000000,1.1200000,1.2398000,1.0552000,1.1300000,789914
20200908,000000,1.0800000,1.1600000,0.9801000,0.9850000,667918
20200909,000000,0.9901000,1.0200000,0.8550000,0.9300000,920643
20200910,000000,0.9300000,0.9599000,0.8962000,0.9335000,208900
20200911,000000,0.9300000,0.9899000,0.9000000,0.9186000,263863
20200914,000000,0.9310000,0.9583000,0.8537000,0.8837000,408212
20200915,000000,0.9000000,0.9148000,0.8601000,0.8751000,279328
20200916,000000,0.8601000,0.8899000,0.8500000,0.8632000,188389
20200917,000000,0.8511000,0.8887000,0.8218000,0.8479000,197584
20200918,000000,0.8551000,0.8649000,0.7751000,0.7989000,280124
20200921,000000,0.8000000,0.8141000,0.7253000,0.7652000,374378
20200922,000000,0.7500000,0.9000000,0.7253000,0.8150000,457135
20200923,000000,0.8033000,0.8800000,0.7811000,0.8278000,234896
20200924,000000,0.8057000,0.8389000,0.7641000,0.7951000,189280
20200925,000000,0.7790000,0.8400000,0.7702000,0.7851000,123225
20200928,000000,0.7720000,0.8304000,0.7701000,0.7907000,211957
20200929,000000,0.7761000,0.8117000,0.7701000,0.7902000,195732
20200930,000000,0.7900000,0.8199000,0.7606000,0.7794000,233220
20201001,000000,0.7760000,0.8100000,0.7531000,0.8026000,205685
20201002,000000,0.7700000,0.7995000,0.7191000,0.7230000,251708
20201005,000000,0.7263000,0.7600000,0.6906000,0.7205000,180996
20201006,000000,0.7153000,0.7459000,0.7001000,0.7141000,201183
20201007,000000,0.7001000,0.7271000,0.6801000,0.6989000,321230
20201008,000000,0.6911000,0.7359000,0.6690000,0.6990000,198266
20201009,000000,0.7000000,0.7249000,0.6705000,0.6797000,195955
20201012,000000,0.6751000,0.7000000,0.6501000,0.6609000,332567
20201013,000000,0.6600000,0.6839000,0.6040000,0.6200000,497686
20201014,000000,0.6101000,0.6399000,0.5696000,0.6081000,390392
20201015,000000,0.6000000,0.6100000,0.5551000,0.5927000,450572
20201016,000000,0.5800000,0.7862000,0.5711000,0.6975000,1067415
20201019,000000,0.6700000,0.7200000,0.6401000,0.6460000,291006
20201020,000000,0.6500000,0.6787000,0.6001000,0.6216000,255891
20201021,000000,0.6101000,0.6376000,0.5801000,0.5961000,265291
20201022,000000,0.6000000,0.6320000,0.5851000,0.5915000,575227
20201023,000000,0.6300000,0.6999000,0.6001000,0.6055000,627377
20201026,000000,0.6090000,0.6406000,0.5801000,0.6245000,420103
20201027,000000,0.6051000,0.6499000,0.6001000,0.6271000,225934
20201028,000000,0.6100000,0.6299000,0.5851000,0.6100000,330451
20201029,000000,0.5873000,0.6299000,0.5801000,0.6157000,187985
20201030,000000,0.6011000,0.6249000,0.5806000,0.5894000,188096
20201102,000000,0.5862000,0.6210000,0.5801000,0.6050000,288917
20201103,000000,0.6000000,0.6188000,0.5903000,0.6130000,145282
